kanji,kana,romaji
会う,あう,au
青,あお,ao
青い,あおい,aoi
赤,あか,aka
赤い,あかい,akai
明るい,あかるい,akarui
秋,あき,aki
開く,あく,aku
開ける,あける,akeru
上げる,あげる,ageru
朝,あさ,asa
朝御飯,あさごはん,asagohan
明後日,あさって,asatte
足;脚,あし,ashi
明日,あした,ashita
遊ぶ,あそぶ,asobu
暖かい,あたたかい,atatakai
頭,あたま,atama
新しい,あたらしい,atarashii
暑い,あつい,atsui
熱い,あつい,atsui
厚い,あつい,atsui
後,あと,ato
兄,あに,ani
姉,あね,ane
浴びる,あびる,abiru
危ない,あぶない,abunai
甘い,あまい,amai
余り,あまり,amari
雨,あめ,ame
飴,あめ,ame
洗う,あらう,arau
在る,ある,aru
有る,ある,aru
歩く,あるく,aruku
言う,いう,iu
家,いえ,ie
行く,いく;ゆく,iku;yuku
池,いけ,ike
医者,いしゃ,isha
椅子,いす,isu
忙しい,いそがしい,isogashii
痛い,いたい,itai
一,いち,ichi
一日,いちにち,ichinichi
一番,いちばん,ichiban
五日,いつか,itsuka
一緒,いっしょ,issho
五つ,いつつ,itsutsu
犬,いぬ,inu
今,いま,ima
意味,いみ,imi
妹,いもうと,imouto
嫌,いや,iya
入口,いりぐち,iriguchi
居る,いる,iru
要る,いる,iru
入れる,いれる,ireru
色,いろ,iro
色々,いろいろ,iroiro
上,うえ,ue
後ろ,うしろ,ushiro
薄い,うすい,usui
歌,うた,uta
歌う,うたう,utau
生まれる,うまれる,umareru
海,うみ,umi
売る,うる,uru
上着,うわぎ,uwagi
絵,え,e
映画,えいが,eiga
映画館,えいがかん,eigakan
英語,えいご,eigo
駅,えき,eki
～円,えん,en
鉛筆,えんぴつ,enpitsu
美味しい,おいしい,oishii
多い,おおい,ooi
大きい,おおきい,ookii
大きな,おおきな,ookina
大勢,おおぜい,oozei
お母さん,おかあさん,okaasan
お菓子,おかし,okashi
お金,おかね,okane
起きる,おきる,okiru
置く,おく,oku
奥さん,おくさん,okusan
お酒,おさけ,osake
お皿,おさら,osara
伯父;叔父さん,おじさん,ojisan
教える,おしえる,oshieru
押す,おす,osu
遅い,おそい,osoi
お茶,おちゃ,ocha
お手洗い,おてあらい,otearai
お父さん,おとうさん,otousan
弟,おとうと,otouto
男,おとこ,otoko
男の子,おとこのこ,otokonoko
一昨日,おととい,ototoi
大人,おとな,otona
お腹,おなか,onaka
同じ,おなじ,onaji
お兄さん,おにいさん,oniisan
お姉さん,おねえさん,oneesan
伯母さん;叔母さん,おばさん,obasan
お風呂,おふろ,ofuro
お弁当,おべんとう,obentou
覚える,おぼえる,oboeru
重い,おもい,omoi
面白い,おもしろい,omoshiroi
泳ぐ,およぐ,oyogu
降りる,おりる,oriru
終る,おわる,owaru
音楽,おんがく,ongaku
女,おんな,onna
女の子,おんなのこ,onnanoko
～回,かい,kai
～階,かい,kai
外国,がいこく,gaikoku
外国人,がいこくじん,gaikokujin
会社,かいしゃ,kaisha
階段,かいだん,kaidan
買い物,かいもの,kaimono
買う,かう,kau
返す,かえす,kaesu
帰る,かえる,kaeru
顔,かお,kao
鍵,かぎ,kagi
書く,かく,kaku
学生,がくせい,gakusei
～か月,かげつ,kagetsu
掛ける,かける,kakeru
傘,かさ,kasa
貸す,かす,kasu
風,かぜ,kaze
風邪,かぜ,kaze
方,かた,kata
家族,かぞく,kazoku
片仮名,かたかな,katakana
～月,がつ,gatsu
学校,がっこう,gakkou
家庭,かてい,katei
角,かど,kado
花瓶,かびん,kabin
紙,かみ,kami
火曜日,かようび,kayoubi
辛い,からい,karai
体,からだ,karada
借りる,かりる,kariru
軽い,かるい,karui
川;河,かわ,kawa
～側,がわ,gawa
可愛い,かわいい,kawaii
漢字,かんじ,kanji
木,き,ki
黄色,きいろ,kiiro
黄色い,きいろい,kiiroi
消える,きえる,kieru
聞く,きく,kiku
北,きた,kita
汚い,きたない,kitanai
喫茶店,きっさてん,kissaten
切手,きって,kitte
切符,きっぷ,kippu
昨日,きのう,kinou
九,きゅう,kyuu
牛肉,ぎゅうにく,gyuuniku
牛乳,ぎゅうにゅう,gyuunyuu
今日,きょう,kyou
教室,きょうしつ,kyoushitsu
兄弟,きょうだい,kyoudai
去年,きょねん,kyonen
嫌い,きらい,kirai
切る,きる,kiru
着る,きる,kiru
綺麗,きれい,kirei
銀行,ぎんこう,ginkou
金曜日,きんようび,kinyoubi
九,く,ku
薬,くすり,kusuri
下さい,ください,kudasai
果物,くだもの,kudamono
口,くち,kuchi
靴,くつ,kutsu
靴下,くつした,kutsushita
国,くに,kuni
曇り,くもり,kumori
曇る,くもる,kumoru
暗い,くらい,kurai
来る,くる,kuru
車,くるま,kuruma
黒,くろ,kuro
黒い,くろい,kuroi
警官,けいかん,keikan
今朝,けさ,kesa
消す,けす,kesu
結構,けっこう,kekkou
結婚,けっこん(する),kekkon(suru)
月曜日,げつようび,getsuyoubi
玄関,げんかん,genkan
元気,げんき,genki
～個,こ,ko
五,ご,go
～語,ご,go
公園,こうえん,kouen
交差点,こうさてん,kousaten
紅茶,こうちゃ,koucha
交番,こうばん,kouban
声,こえ,koe
午後,ごご,gogo
九日,ここのか,kokonoka
九つ,ここのつ,kokonotsu
午前,ごぜん,gozen
答える,こたえる,kotaeru
今年,ことし,kotoshi
言葉,ことば,kotoba
子供,こども,kodomo
御飯,ごはん,gohan
困る,こまる,komaru
今月,こんげつ,kongetsu
今週,こんしゅう,konshuu
今晩,こんばん,konban
～歳,さい,sai
財布,さいふ,saifu
魚,さかな,sakana
先,さき,saki
咲く,さく,saku
作文,さくぶん,sakubun
差す,さす,sasu
～冊,さつ,satsu
雑誌,ざっし,zasshi
砂糖,さとう,satou
寒い,さむい,samui
さ来年,さらいねん,sarainen
三,さん,san
散歩,さんぽ(する),sanpo(suru)
四,し,shi
～時,じ,ji
塩,しお,shio
時間,じかん,jikan
～時間,じかん,jikan
仕事,しごと,shigoto
辞書,じしょ,jisho
静か,しずか,shizuka
下,した,shita
七,しち,shichi
質問,しつもん,shitsumon
自転車,じてんしゃ,jitensha
自動車,じどうしゃ,jidousha
死ぬ,しぬ,shinu
字引,じびき,jibiki
自分,じぶん,jibun
閉まる,しまる,shimaru
閉める,しめる,shimeru
締める,しめる,shimeru
写真,しゃしん,shashin
